GQ id,fifth_col,number_room,rank,year
376160.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Laundry Bar Live entertainment Connectivity/Devices On-site shopping Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Ticketing/Tours Leisure/Entertainment Check-in/out Fireplace business family otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress mastercard visa carteBlanche,222.0,3.0,2014.0
187510.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Fireplace Sunbathing Smoking rooms available Multimedia loan business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,540.0,5.0,2010.0
80701.0,Designated smoking area Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Wake-up service Onsite car/limo rental Leisure/Entertainment Check-in/out Offsite parking Smoking rooms available business shopping urban otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa creditCards unionPay,285.0,4.0,1996.0
29388.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Wake-up service Onsite car/limo rental Check-in/out Ground sports facilities Smoking rooms available business shopping urban family luxury green otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa visaElectron,288.0,4.0,2004.0
237844.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Leisure/Entertainment Check-in/out Indoor games Medical service business family budget otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,500.0,3.5,2012.0
66732.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Social spaces Leisure/Entertainment Salon Indoor games Ground sports facilities business family luxury romantic spaWellness green wildlife otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Resort Villa americanExpress dinersClub jcbInternational mastercard visa,390.0,5.0,1989.0
66657.0,Designated smoking area Guest item storage Dining Conference/Business Fitness centre/Gym Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Cash services Wake-up service Leisure/Entertainment Check-in/out Salon Medical service business shopping urban luxury gourmet design otherPolicy checkInOutPolicy petPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,581.0,4.0,1959.0
40392.0,Designated smoking area Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Social spaces Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Indoor games Medical service Watersports activities business shopping family luxury romantic otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa discover unionPay,452.0,5.0,2003.0
217831.0,Refreshments Guest item storage Air-conditioning in public areas Laundry Live entertainment Connectivity/Devices Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Cash services Wake-up service Check-in/out Salon business family otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel mastercard visa carteBlanche,46.0,3.0,2011.0
47743.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Cash services Leisure/Entertainment Check-in/out business shopping urban family budget luxury romantic spaWellness gourmet design rural otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,364.0,4.0,1995.0
