,GQ id,name,EAN id,Kmeans with 6cluster ,Kmeans with 5 cluster ,BinaryClustring 5 ,BinaryClustring 6 ,Hierarchical Clustering 5,Hierarchical Clustering 6 ,Hybrid Clustring 5 
774,378465,My Home Hotel Prima Sri Gombak,378465,6,5,2,5,2,2,4
775,378464,OYO 838 My Home Hotel Pekeliling,378464,6,5,2,5,2,2,4
776,378463,OYO 343 My Home Hotel Kuchai Lama,378463,6,5,2,5,2,2,4
777,378461,My Home Hotel Cheras Selatan,378461,6,5,2,5,2,2,4
778,378460,Media Hotel,378460,6,5,2,5,2,2,4
779,378458,M Design Hotel,378458,6,5,2,3,2,2,4
780,378454,Kuala Lumpur International Hotel,378454,2,2,5,1,1,6,1
781,378453,OYO 424 KK Inn Hotel,378453,6,5,2,5,2,2,4
782,378450,Izumi Hotel @ 2,378450,6,5,2,5,2,2,4
783,378449,Izumi Hotel Balakong,378449,3,3,3,3,4,4,5
784,378447,i-Hotel @ Kota Damansara,378447,6,5,2,5,2,2,4
785,378446,Citylight Hotel,378446,6,5,2,5,2,2,4
786,378445,I Boutique Hotel,378445,6,5,2,5,2,2,4
787,378443,Sempurna,378443,6,5,2,5,2,2,4
788,378377,101 Bangi Hotel,378377,6,5,2,5,2,2,4
789,378375,9 Square Hotel,378375,6,5,2,5,2,2,4
790,378374,MH Hotel & Residences Kuala Lumpur,378374,3,3,3,3,4,4,3
791,378371,City View Hotel Sunway,378371,6,5,2,5,2,2,4
792,377665,Zodiac Golden Palace Hotel Bukit Bintang,377665,6,5,2,5,2,2,3
793,377658,China Town Boutique Hotel,377658,6,5,2,5,2,2,4
794,376782,Sun Inns Hotel Kelana Jaya,376782,6,5,2,5,2,2,4
795,376362,Primera Residences & Business Suites,376362,3,5,2,3,4,4,3
796,374950,Grid 9,374950,6,5,2,5,2,2,4
797,374945,D'OR Hotel,374945,6,5,2,5,2,2,4
798,369564,The Mesui Hotel,369564,6,5,2,5,2,2,3
799,366352,Eighty-Eight Inn,366352,6,5,2,5,2,2,4
800,364067,Leo Leisure Hotel,364067,6,5,2,5,2,2,4
801,364065,DengBa Hostel,364065,6,5,2,5,2,2,4
802,362556,Metro Hotel  Kl Sentral,362556,3,5,2,3,4,4,4
803,362555,Gds,362555,6,5,2,5,2,2,4
804,362165,OYO 339 Victory Exclusive Hotel,362165,6,5,2,5,2,2,4
805,362158,Love Inn Boutique Hotel,362158,6,5,2,5,2,2,4
806,359360,New Wave Shah Alam Hotel,359360,6,5,2,5,2,2,4
807,359118,Metro Hotel Bukit Bintang,359118,3,3,3,3,4,4,3
808,355184,Ambassador,355184,6,5,2,5,2,2,3
809,355183,Sungei Wang Hotel,355183,6,5,2,5,2,2,4
810,349642,V Hotel,349642,6,5,2,5,2,2,4
811,338124,Premiera Hotel Kuala Lumpur.,338124,3,5,2,3,4,4,4
812,324376,Sun Inns Hotel Sunway Mentari,324376,3,3,3,3,4,4,5
813,320059,The Yard Boutique Hotel,320059,6,5,2,5,2,2,4
814,319875,Ray Parc Hotel,319875,3,5,2,3,4,4,3
815,312375,Resorts World Genting - Theme Park Hotel,312375,2,2,5,1,5,1,5
816,273532,Seri Malaysia Genting Highlands,273532,3,3,3,3,4,4,5
817,265317,Carlton Holiday Hotel  Suites,265317,3,3,3,3,4,4,5
818,265316,Bintang Garden Hotel,265316,6,5,2,5,2,2,4
819,265313,Dorsett Regency (Sri Jati Apartment),265313,2,2,5,1,1,6,1
820,265309,Mirama Hotel,265309,3,5,2,3,4,4,4
821,261728,Upperview â€“ Regalia Suites & Residences,261728,3,3,3,3,4,4,3
822,252971,Ibis Styles Kl Cheras,252971,3,3,3,3,4,4,3
823,237430,EV World Hotel (Subang Jaya),237430,6,5,2,5,2,2,4
824,233974,Hotel de Art Section 7 Shah Alam,233974,6,5,2,5,2,2,4
825,233973,Ev World Hotel Shah Alam 1,233973,6,5,2,5,2,2,4
826,232717,JJ Boutique Hotel SS2,232717,6,5,2,5,2,2,4
827,232716,JJ Boutique Hotel Kota Damansara,232716,6,5,2,5,2,2,4
828,231244,OYO 486 Victory 2 Boutique Hotel,231244,6,5,2,5,2,2,4
829,231239,Orion Design Hotel,231239,6,5,2,5,2,2,4
830,231236,V Garden Hotel,231236,6,5,2,5,2,2,4
831,231234,Ampang Point Star Hotel,231234,6,5,2,5,2,2,4
832,231233,Lacomme Inn,231233,6,5,2,5,2,2,3
833,231232,Swiss Hotel,231232,3,3,3,3,4,4,3
834,231230,EV World Sri Petaling,231230,6,5,2,5,2,2,4
835,231225,Sun Inns Hotel Seri Kembangan D'Mind 2,231225,6,5,2,5,2,2,4
836,231224,City Campus Lodge & Hotel,231224,5,3,3,2,1,6,1
837,219844,Sky Hotel Selayang,219844,6,5,2,5,2,2,4
838,219676,De Palma Hotel Shah Alam,219676,3,5,2,3,4,4,3
839,219472,Sun Inns Hotel Kota Damansara,219472,6,5,2,5,2,2,4
840,219471,Shah's Village,219471,3,5,2,3,4,4,4
841,217869,YY38 Hotel,217869,3,3,3,3,4,4,5
842,217867,Wedgewood Serviced Residences Mont Kiara,217867,3,3,3,3,4,4,3
843,217866,The Villas At Sunway Resort Hotel & Spa,217866,2,2,5,1,5,1,1
844,217863,Sun Inns Hotel Puchong One,217863,3,5,2,3,4,4,5
845,217862,Sun Inns Hotel Lagoon Sunway,217862,3,3,3,3,4,4,5
846,217860,Sun Inns Hotel D'mind 1 Seri Kembangan,217860,6,5,2,5,2,2,4
847,217859,Hotel Sri Petaling,217859,3,3,3,3,4,4,3
848,217857,Replica Inn Bukit Bintang,217857,6,5,2,5,2,2,4
849,217853,Palace Hotel Sdn Bhd,217853,3,5,2,3,4,4,3
850,217851,Oriental Crystal,217851,3,3,3,3,4,4,3
851,217845,Ibiz Hotel,217845,6,5,2,5,2,2,4
852,217840,First Business Inn,217840,3,5,2,3,4,4,5
853,217838,De Palma Hotel Kuala Selangor,217838,6,5,2,5,2,2,3
854,217837,Simms Boutique Hotel Bukit Bintang,217837,6,5,2,5,2,2,3
855,217836,Crystal Crown Petaling Jaya,217836,5,2,5,2,1,6,1
856,217835,Crystal Crown Kuala Lumpur,217835,5,3,3,2,1,6,5
857,217834,Hotel Caliber Kuala Lumpur,217834,3,3,3,3,4,4,5
858,217832,ZEN Rooms Basic Sentul Kuala Lumpur,217832,3,5,2,3,4,4,4
859,217829,Adamson Hotel Kuala Lumpur,217829,3,3,3,3,4,4,5
860,216779,D'New 1 Hotel at Sunway,216779,6,5,2,5,2,2,4
861,216777,Hotel Alibaba Bukit Bintang,216777,6,5,2,5,2,2,4
862,216775,The Nomad Residences Bangsar,216775,6,5,2,5,2,2,3
863,216774,M Joy,216774,6,5,2,5,2,2,4
864,215339,The Maple Suite,215339,3,5,2,3,4,4,3
865,203666,Villa Samadhi,203666,6,5,2,5,2,2,3
866,194518,Premiere Hotel,194518,5,3,3,2,1,6,1
867,192705,Palm Garden Hotel IOI Resort,192705,3,3,3,3,4,4,3
868,188664,Tune Hotel KLIA Aeropolis (Airport Hotel),188664,5,3,3,2,1,6,1
869,188655,Hotel China Town 2 Kuala Lumpur,188655,6,5,2,5,2,2,3
870,186314,Anggun Boutique Hotel,186314,6,5,2,5,2,2,3
871,176586,Puteri Park,176586,5,3,3,2,1,6,1
872,175705,Phoenix Hotel,175705,6,5,2,5,2,2,3
873,174674,City Hotel,174674,6,5,2,5,2,2,3
874,168220,China Town Inn,168220,6,5,2,5,4,4,3
875,166264,Hotel Armada Petaling Jaya,166264,5,3,3,2,1,6,1
876,113823,The Royale Chulan Kuala Lumpur,113823,2,2,5,1,1,6,1
877,108550,Flamingo Hotel by The Lake,108550,5,3,3,2,1,6,1
878,79731,Corona Inn Hotel Kuala Lumpur,79731,3,3,3,3,4,4,3
879,71337,Oakwood Hotel & Residence Kuala Lumpur,71337,5,3,3,2,1,6,1
880,71163,Cyberview Resort & Spa,71163,3,3,3,3,4,4,3
881,69904,Putrajaya Marriott Hotel,69904,2,2,5,1,5,1,2
882,68634,Wira,68634,3,3,3,3,4,4,3
883,68622,The Plaza Hotel,68622,3,3,3,3,4,4,5
884,68616,Grand Central Kuala Lumpur ,68616,3,3,3,3,4,4,3
885,68011,Genting Grand,68011,4,4,4,4,5,5,2
886,66727,Travelodge Bukit Bintang,66727,3,3,3,3,4,4,3
887,64673,Philea Mines Beach Resort,64673,3,3,3,2,4,4,3
888,36382,Palace of the Golden Horses Mines Kuala Lumpur,36382,2,2,5,1,5,1,2
889,18701,Sunway Pyramid Hotel,18701,4,4,4,4,5,1,2
890,12205,"Impiana KLCC Hotel, Kuala Lumpur City Centre",12205,2,2,5,1,5,1,2
891,9578,Dorsett Residence Bukit Bintang,9578,6,5,2,5,2,2,4
892,8459,City Villa Kuala Lumpur,8459,5,3,3,2,1,6,5
